FECHA;Precipitación: l/m2
05/09/2017;0
06/09/2017;0
07/09/2017;0
08/09/2017;0
09/09/2017;2.4
10/09/2017;1.2
11/09/2017;0
12/09/2017;0
13/09/2017;0
14/09/2017;0
15/09/2017;0.2
16/09/2017;0.2
17/09/2017;0
18/09/2017;4
19/09/2017;0
20/09/2017;0
21/09/2017;0.2
22/09/2017;0
23/09/2017;0
24/09/2017;0
25/09/2017;0
26/09/2017;0
27/09/2017;0
28/09/2017;0
29/09/2017;0
30/09/2017;0
01/10/2017;0.2
02/10/2017;0.2
03/10/2017;0
04/10/2017;0
05/10/2017;0
06/10/2017;0
07/10/2017;0
08/10/2017;0
09/10/2017;0
10/10/2017;0
11/10/2017;0
12/10/2017;0
13/10/2017;0
14/10/2017;0
15/10/2017;0
16/10/2017;0
17/10/2017;0.2
18/10/2017;11.4
19/10/2017;2.4
20/10/2017;0
21/10/2017;3.2
22/10/2017;0
23/10/2017;0
24/10/2017;0
25/10/2017;0
26/10/2017;0
27/10/2017;0
28/10/2017;0
29/10/2017;0
30/10/2017;0
31/10/2017;0
01/11/2017;0
02/11/2017;0
03/11/2017;0.2
04/11/2017;3.6
05/11/2017;0.4
06/11/2017;2
07/11/2017;0
08/11/2017;2
09/11/2017;0
10/11/2017;0
11/11/2017;0
12/11/2017;0
13/11/2017;0.4
14/11/2017;0
15/11/2017;0
16/11/2017;0
17/11/2017;0
18/11/2017;0
19/11/2017;0
20/11/2017;0
21/11/2017;0
22/11/2017;0
23/11/2017;0
24/11/2017;0.2
25/11/2017;6.6
26/11/2017;0
27/11/2017;0
